log10(energy) [eV], deep veff*sr [km^3sr], deep aeff*sr [km^2sr], shallow veff*sr [km^3sr], shallow aeff*str [km^2sr]
16.0, 0.000000e+00, 0.000000e+00, 8.055236e-04, 1.226547e-07 
16.5, 2.877540e-04, 6.933617e-08, 1.073572e-02, 2.586839e-06 
17.0, 5.162349e-03, 1.916922e-06, 7.030132e-02, 2.610481e-05 
17.5, 8.974606e-02, 5.021413e-05, 2.916101e-01, 1.631598e-04 
18.0, 7.046026e-01, 5.826692e-04, 6.826843e-01, 5.645439e-04 
18.5, 3.240527e+00, 3.894730e-03, 1.660873e+00, 1.996173e-03 
19.0, 9.073894e+00, 1.561888e-02, 2.814768e+00, 4.845056e-03 
19.5, 1.794062e+01, 4.365472e-02, 3.914759e+00, 9.525740e-03 
20.0, 2.786132e+01, 9.472910e-02, 4.849028e+00, 1.648680e-02 
