log10(energy) [eV], deep veff*sr [km^3sr], deep aeff*sr [km^2sr], shallow veff*sr [km^3sr], shallow aeff*str [km^2sr]
16.0, 4.892784e-03, 7.450099e-07, 5.071344e-03, 7.721987e-07 
16.5, 8.491779e-02, 2.046148e-05, 5.548789e-02, 1.337016e-05 
17.0, 6.954456e-01, 2.582380e-04, 3.236336e-01, 1.201741e-04 
17.5, 3.214421e+00, 1.798512e-03, 1.062711e+00, 5.946014e-04 
18.0, 9.055130e+00, 7.488115e-03, 2.579317e+00, 2.132959e-03 
18.5, 1.785745e+01, 2.146255e-02, 4.992270e+00, 6.000118e-03 
19.0, 2.784152e+01, 4.792357e-02, 7.848965e+00, 1.351041e-02 
19.5, 3.627420e+01, 8.826561e-02, 1.038144e+01, 2.526104e-02 
20.0, 4.396180e+01, 1.494711e-01, 1.244703e+01, 4.232017e-02 
